,steps,heart_rate,raw_intensity,feeling_rate,time_of_day
172,305,85.67,31.0,4,Morning
173,109,86.98,32.5,4,Morning
174,859,89.5,58.3,4,Noon
175,888,96.0,77.45,4,Noon
176,1948,86.5,67.03,4,Noon
177,0,107.0,28.0,4,Noon
178,2934,92.87,88.81,4,Evening
179,1345,85.82,61.39,4,Evening
180,158,88.35,42.2,4,Evening
181,67,85.65,37.83,4,Evening
182,28,136.5,97.0,4,Morning
183,3132,87.28,72.34,4,Morning
184,0,85.87,36.73,4,Morning
185,3247,89.04,73.3,4,Morning
186,760,83.86,56.85,4,Noon
187,6,80.0,39.75,4,Noon
188,0,134.0,21.0,4,Noon
189,112,105.67,51.54,4,Evening
190,2147,90.67,72.87,4,Evening
191,275,89.39,59.07,4,Evening
192,241,87.8,59.22,4,Evening
193,298,91.32,53.23,4,Night
194,62,85.13,36.7,4,Night
195,52,137.67,89.25,4,Morning
196,694,95.94,69.31,4,Morning
197,107,96.0,92.65,4,Noon
198,28,88.98,55.03,4,Noon
199,151,81.6,46.36,4,Noon
200,132,82.38,43.93,4,Noon
201,767,92.31,78.73,4,Evening
202,408,89.71,53.04,4,Evening
203,86,86.34,32.12,4,Evening
204,230,88.0,42.47,4,Evening
205,438,87.5,44.27,4,Night
206,52,87.47,31.86,4,Night
207,1923,91.47,80.82,4,Early Morning
208,143,84.92,46.43,4,Early Morning
209,109,85.85,40.75,4,Morning
210,1260,86.91,55.09,4,Morning
211,845,88.19,51.69,4,Morning
212,156,88.15,37.73,4,Morning
213,0,80.89,34.54,4,Noon
214,113,83.85,31.21,4,Noon
215,2692,84.53,73.18,4,Noon
216,0,82.21,32.64,4,Noon
217,64,84.74,36.66,4,Evening
218,95,81.78,33.14,4,Evening
219,0,84.21,35.63,4,Evening
220,2682,88.0,72.33,4,Evening
221,451,88.83,48.37,4,Night
222,383,111.57,63.34,4,Early Morning
223,0,87.86,31.64,4,Early Morning
224,661,84.65,59.93,4,Morning
225,303,89.68,43.02,4,Morning
226,109,84.74,34.76,4,Morning
227,410,85.46,54.87,4,Morning
228,2168,83.31,63.48,4,Noon
229,1305,88.2,60.77,4,Noon
230,2133,82.74,71.97,4,Noon
231,2306,85.52,63.63,4,Noon
232,229,83.35,41.43,4,Evening
233,59,81.39,25.88,4,Evening
234,40,81.33,28.72,4,Evening
235,61,85.93,36.33,4,Evening
236,3,83.2,37.73,4,Night
237,549,85.33,67.42,4,Early Morning
238,1561,85.05,55.22,4,Early Morning
239,1163,85.38,55.81,4,Morning
240,208,88.62,34.17,4,Morning
241,285,84.71,38.23,4,Morning
242,0,89.07,24.78,4,Morning
243,327,92.87,35.78,4,Noon
244,198,87.53,30.81,4,Noon
245,1956,86.43,61.08,4,Noon
246,1184,85.65,61.72,4,Noon
247,651,92.4,64.67,4,Evening
248,882,85.5,56.68,4,Evening
249,2610,85.12,64.68,4,Evening
250,1488,86.32,53.21,4,Evening
251,69,88.73,35.73,4,Night
252,32,89.77,36.2,4,Early Morning
253,463,89.37,49.09,4,Morning
254,108,87.69,39.9,4,Morning
255,140,87.84,37.32,4,Morning
256,391,87.53,47.5,4,Morning
257,173,87.02,38.93,4,Noon
258,158,84.77,37.76,4,Noon
259,97,88.0,34.25,4,Noon
260,491,95.64,101.32,4,Noon
261,786,96.0,91.69,4,Evening
262,10,89.19,25.16,4,Evening
263,280,84.0,58.27,4,Evening
264,138,87.38,40.46,4,Evening
265,105,88.15,39.75,4,Night
266,27,96.43,52.25,4,Night
267,1372,101.19,82.88,4,Early Morning
268,836,86.49,39.44,4,Early Morning
269,56,90.18,28.73,4,Morning
270,332,86.59,41.4,4,Morning
271,49,86.27,32.12,4,Morning
272,224,87.3,39.04,4,Morning
273,208,90.67,30.98,4,Noon
274,269,85.11,33.0,4,Noon
275,1062,84.95,41.31,4,Noon
276,542,96.5,93.22,4,Noon
277,2900,81.36,72.98,4,Evening
278,54,84.67,37.1,4,Evening
279,2622,92.31,76.71,4,Evening
280,668,90.38,53.83,4,Evening
281,19,80.31,32.0,4,Night
282,54,82.71,42.22,4,Night
283,342,93.42,61.02,4,Morning
284,2192,82.67,64.64,4,Morning
285,232,94.3,85.4,4,Morning
286,1916,88.96,66.62,4,Morning
287,180,83.52,38.18,4,Noon
288,22,83.71,37.36,4,Noon
289,152,85.13,48.43,4,Noon
290,966,83.05,49.63,4,Noon
291,1812,93.33,74.45,4,Evening
292,212,88.0,51.51,4,Evening
293,242,92.0,70.2,4,Evening
294,179,85.09,53.95,4,Evening
295,78,87.17,33.52,4,Night
296,238,89.05,55.04,4,Noon
297,2450,84.57,69.86,4,Noon
298,2309,83.56,71.36,4,Noon
299,14,87.86,29.32,4,Noon
300,37,89.06,30.93,4,Evening
301,107,86.52,46.05,4,Evening
302,489,93.71,71.2,4,Evening
303,101,91.14,46.03,4,Evening
304,1543,87.7,62.59,4,Night
305,27,89.5,46.33,4,Night
306,0,87.33,48.0,4,Early Morning
307,356,92.3,54.84,4,Early Morning
308,104,89.41,35.0,4,Morning
309,129,89.14,40.0,4,Morning
310,40,87.86,49.36,4,Morning
311,24,89.48,43.76,4,Morning
312,99,86.46,48.23,4,Noon
313,226,88.0,52.5,4,Noon
314,1415,93.42,72.92,4,Noon
315,3004,86.1,77.45,4,Noon
316,1328,84.24,57.45,4,Evening
317,21,80.89,24.45,4,Evening
318,0,103.27,16.18,4,Evening
319,7,82.92,30.48,4,Evening
320,1633,85.52,59.62,4,Night
321,1455,91.64,72.68,4,Night
322,0,114.4,29.2,4,Night
323,244,102.26,105.46,4,Noon
324,367,92.8,84.52,4,Noon
325,169,88.85,44.83,4,Evening
326,9,86.07,30.69,4,Evening
327,7,82.44,33.88,4,Evening
328,64,83.67,27.66,4,Evening
329,7,82.69,30.38,4,Night
330,724,144.0,102.43,4,Early Morning
331,1103,86.55,50.73,4,Early Morning
332,61,84.15,29.17,4,Morning
333,346,82.55,35.93,4,Morning
334,193,88.85,33.77,4,Morning
335,265,87.64,33.91,4,Morning
336,251,91.73,45.05,4,Noon
337,133,84.92,32.47,4,Noon
338,1923,87.8,75.76,4,Noon
339,598,92.0,66.03,4,Noon
340,2699,81.48,66.78,4,Evening
341,2013,86.59,74.07,4,Evening
342,320,85.33,40.9,4,Evening
343,101,97.5,50.9,4,Evening
344,0,134.0,14.0,4,Night
345,192,90.71,39.2,4,Morning
346,566,88.62,59.3,4,Morning
347,0,81.66,24.34,4,Morning
348,249,83.51,39.13,4,Noon
349,508,88.0,45.5,4,Noon
350,318,88.59,44.86,4,Noon
351,1814,93.14,74.48,4,Noon
352,4077,86.86,88.1,4,Evening
353,35,86.11,27.47,4,Evening
354,206,86.63,38.92,4,Evening
355,162,88.51,34.98,4,Evening
356,92,85.62,42.37,4,Night
357,3,87.33,50.0,4,Night
358,1320,107.45,86.0,3,Early Morning
359,964,82.91,45.0,3,Early Morning
360,141,80.96,33.62,3,Morning
