,steps,steps_so_far,heart_rate,min_heart,max_heart,raw_intensity,feeling_rate,time_of_day,gender
107,75,11527,85.67,96.0,80.0,34.64,4,4,female
108,161,11688,82.67,96.0,80.0,46.2,4,4,female
109,285,11973,87.27,96.0,80.0,45.73,4,5,female
110,576,12549,83.08,96.0,80.0,42.32,4,5,female
111,97,12646,92.75,115.0,80.0,39.11,4,5,female
112,0,0,87.48,87.47572631179189,87.47572631179189,76.0,4,2,female
113,1501,1501,90.36,144.0,80.0,65.28,4,2,female
114,816,2317,81.82,96.0,80.0,45.2,4,2,female
115,289,2606,83.13,96.0,80.0,39.85,4,3,female
116,272,2878,88.82,96.0,80.0,37.92,4,3,female
117,245,3123,87.53,96.0,80.0,33.55,4,3,female
118,500,3623,86.04,96.0,80.0,36.36,4,3,female
119,365,3988,86.72,96.0,80.0,39.43,4,4,female
120,382,4370,82.29,96.0,80.0,38.02,4,4,female
121,1271,5641,83.89,96.0,80.0,55.07,4,4,female
122,1635,7276,89.23,96.0,80.0,75.63,4,4,female
123,527,7803,81.8,96.0,49.0,43.12,4,5,female
124,19,7822,84.07,96.0,80.0,39.97,4,5,female
125,121,7943,84.53,96.0,80.0,40.63,4,5,female
126,16,7959,86.34,96.0,80.0,35.27,4,5,female
127,579,8538,86.89,99.0,80.0,62.18,4,6,female
128,207,207,97.67,155.0,80.0,48.39,4,3,female
129,252,459,95.22,96.0,80.0,45.4,4,3,female
130,81,540,87.85,96.0,80.0,36.55,4,3,female
131,1282,1822,86.32,96.0,80.0,56.62,4,3,female
132,686,2508,80.73,96.0,80.0,38.27,4,4,female
133,789,3297,81.12,96.0,80.0,43.09,4,4,female
134,1567,4864,86.07,96.0,80.0,61.71,4,4,female
135,691,5555,91.85,96.0,80.0,61.61,4,4,female
136,220,5775,85.22,96.0,80.0,41.69,4,5,female
137,656,6431,86.0,96.0,80.0,43.05,4,5,female
138,683,7114,82.25,99.0,80.0,44.91,4,5,female
139,227,227,100.29,144.0,80.0,51.68,4,2,female
140,928,1155,87.62,96.0,80.0,52.91,4,2,female
141,126,1281,84.23,96.0,80.0,36.83,4,3,female
142,1348,2629,86.59,96.0,80.0,68.2,4,3,female
143,1072,3701,83.12,96.0,80.0,45.71,4,3,female
144,7,3708,82.98,96.0,80.0,26.64,4,3,female
145,667,4375,88.73,96.0,80.0,41.83,4,4,female
146,1859,6234,91.43,96.0,80.0,61.03,4,4,female
147,95,6329,87.41,96.0,80.0,26.9,4,4,female
148,0,6329,80.57,96.0,80.0,23.41,4,4,female
149,2043,8372,85.71,96.0,80.0,72.27,4,5,female
150,229,8601,89.53,96.0,80.0,50.43,4,5,female
151,1736,10337,90.48,96.0,80.0,68.34,4,5,female
152,1724,12061,81.88,96.0,80.0,66.72,4,5,female
153,273,273,93.9,129.0,80.0,57.33,4,2,female
154,121,394,87.68,96.0,80.0,40.46,4,3,female
155,247,641,90.05,96.0,80.0,40.38,4,3,female
156,141,782,87.84,96.0,80.0,39.85,4,3,female
157,230,1012,86.0,96.0,80.0,48.58,4,3,female
158,45,1057,86.96,96.0,80.0,44.31,4,4,female
159,114,1171,85.12,96.0,80.0,38.04,4,4,female
160,1770,2941,88.53,96.0,80.0,67.79,4,4,female
161,754,3695,91.29,96.0,80.0,81.45,4,4,female
162,2910,6605,83.81,96.0,80.0,76.71,4,5,female
163,31,6636,82.09,96.0,80.0,28.35,4,5,female
164,185,6821,84.57,96.0,80.0,46.68,4,5,female
165,95,6916,83.84,96.0,80.0,37.3,4,5,female
166,0,6916,83.89,96.0,80.0,32.11,4,6,female
167,113,113,131.67,155.0,115.0,82.22,4,2,female
168,2121,2234,84.41,115.0,80.0,63.84,4,2,female
169,0,2234,82.4,96.0,80.0,34.35,4,2,female
170,2273,4507,80.73,96.0,49.0,67.95,4,3,female
171,169,4676,81.51,96.0,80.0,36.03,4,3,female
172,305,4981,85.67,96.0,80.0,31.0,4,3,female
173,109,5090,86.98,96.0,80.0,32.5,4,3,female
174,859,5949,89.5,96.0,80.0,58.3,4,4,female
175,888,6837,96.0,96.0,96.0,77.45,4,4,female
176,1948,8785,86.5,96.0,80.0,67.03,4,4,female
177,0,8785,107.0,115.0,99.0,28.0,4,4,female
178,2934,11719,92.87,129.0,80.0,88.81,4,5,female
179,1345,13064,85.82,96.0,80.0,61.39,4,5,female
180,158,13222,88.35,96.0,80.0,42.2,4,5,female
181,67,13289,85.65,96.0,80.0,37.83,4,5,female
182,28,28,136.5,144.0,129.0,97.0,4,3,female
183,3132,3160,87.28,145.0,80.0,72.34,4,3,female
184,0,3160,85.87,96.0,80.0,36.73,4,3,female
185,3247,6407,89.04,96.0,80.0,73.3,4,3,female
186,760,7167,83.86,96.0,80.0,56.85,4,4,female
187,6,7173,80.0,80.0,80.0,39.75,4,4,female
188,0,7173,134.0,134.0,134.0,21.0,4,4,female
189,112,7285,105.67,134.0,80.0,51.54,4,5,female
190,2147,9432,90.67,96.0,80.0,72.87,4,5,female
191,275,9707,89.39,96.0,80.0,59.07,4,5,female
192,241,9948,87.8,96.0,80.0,59.22,4,5,female
193,298,10246,91.32,96.0,80.0,53.23,4,6,female
194,62,10308,85.13,115.0,80.0,36.7,4,6,female
195,52,52,137.67,155.0,129.0,89.25,4,3,female
196,694,746,95.94,129.0,80.0,69.31,4,3,female
197,107,853,96.0,96.0,96.0,92.65,4,4,female
198,28,881,88.98,96.0,80.0,55.03,4,4,female
199,151,1032,81.6,96.0,80.0,46.36,4,4,female
200,132,1164,82.38,96.0,80.0,43.93,4,4,female
201,767,1931,92.31,96.0,80.0,78.73,4,5,female
202,408,2339,89.71,96.0,80.0,53.04,4,5,female
203,86,2425,86.34,96.0,80.0,32.12,4,5,female
204,230,2655,88.0,96.0,80.0,42.47,4,5,female
205,438,3093,87.5,96.0,80.0,44.27,4,6,female
206,52,3145,87.47,96.0,80.0,31.86,4,6,female
207,1923,1923,91.47,108.0,80.0,80.82,4,2,female
208,143,2066,84.92,96.0,80.0,46.43,4,2,female
209,109,2175,85.85,96.0,80.0,40.75,4,3,female
210,1260,3435,86.91,96.0,80.0,55.09,4,3,female
211,845,4280,88.19,96.0,80.0,51.69,4,3,female
212,156,4436,88.15,96.0,80.0,37.73,4,3,female
213,0,4436,80.89,96.0,80.0,34.54,4,4,female
214,113,4549,83.85,96.0,80.0,31.21,4,4,female
215,2692,7241,84.53,96.0,49.0,73.18,4,4,female
216,0,7241,82.21,96.0,80.0,32.64,4,4,female
